"district_id","party_id","votes","registered","voted","voted_noon","voted_5pm","main_list","special_list","invalid_ballots","vote_share","turnout_pct","noon_pct","five_pct","invalid_pct"
"171","kostava_society",131,18946,7880,2455,5752,18764,182,314,0.017319,0.415919,0.129579,0.3036,0.039848
"171","labour",394,18946,7880,2455,5752,18764,182,314,0.052089,0.415919,0.129579,0.3036,0.039848
"171","nonparliamentary_opposition_2014",442,18946,7880,2455,5752,18764,182,314,0.058435,0.415919,0.129579,0.3036,0.039848
"171","our_georgia_2014",0,18946,7880,2455,5752,18764,182,314,0,0.415919,0.129579,0.3036,0.039848
"171","patriots",332,18946,7880,2455,5752,18764,182,314,0.043892,0.415919,0.129579,0.3036,0.039848
"171","peoples_movement_2014",0,18946,7880,2455,5752,18764,182,314,0,0.415919,0.129579,0.3036,0.039848
"171","peoples_party_2014",0,18946,7880,2455,5752,18764,182,314,0,0.415919,0.129579,0.3036,0.039848
"171","reformers_2014",0,18946,7880,2455,5752,18764,182,314,0,0.415919,0.129579,0.3036,0.039848
"171","sakhalkho_party_2014",0,18946,7880,2455,5752,18764,182,314,0,0.415919,0.129579,0.3036,0.039848
"171","self_governance_people_2014",52,18946,7880,2455,5752,18764,182,314,0.006875,0.415919,0.129579,0.3036,0.039848
"171","ufali_2014",0,18946,7880,2455,5752,18764,182,314,0,0.415919,0.129579,0.3036,0.039848
"171","unity_hall_2014",0,18946,7880,2455,5752,18764,182,314,0,0.415919,0.129579,0.3036,0.039848
"171","unm",1650,18946,7880,2455,5752,18764,182,314,0.218139,0.415919,0.129579,0.3036,0.039848
"171","veterans_patriots_2014",44,18946,7880,2455,5752,18764,182,314,0.005817,0.415919,0.129579,0.3036,0.039848
"171","workers_council_2014",0,18946,7880,2455,5752,18764,182,314,0,0.415919,0.129579,0.3036,0.039848
"18","burjanadze_united_opposition_2014",2977,30608,14815,5162,11103,30429,179,537,0.20878,0.484024,0.168649,0.362748,0.036247
"18","christian_democrats_2014",0,30608,14815,5162,11103,30429,179,537,0,0.484024,0.168649,0.362748,0.036247
"18","freedom_zviads_way_2014",0,30608,14815,5162,11103,30429,179,537,0,0.484024,0.168649,0.362748,0.036247
"18","future_georgia_2014",0,30608,14815,5162,11103,30429,179,537,0,0.484024,0.168649,0.362748,0.036247
