"major_id","electoral_district_id","selfgov_id","majoritarian_district","party_code","party_id","party_label_ka","name_ka","first_name","last_name"
817,8,1,17,"7","national_council_2010","“ეროვნული საბჭო”","ირაკლი ჭუბაბრია","ირაკლი","ჭუბაბრია"
817,8,1,17,"10","christian_democrats_2010","“გიორგი თარგამაძე, ინგა გრიგოლია – ქრისტიან-დემოკრატიული გაერთიანება”","პაატა ფოცხვერია","პაატა","ფოცხვერია"
817,8,1,17,"15","freedom_2010","პოლიტიკური მოძრაობა “თავისუფლება”","ზაზა კიკაბიძე","ზაზა","კიკაბიძე"
817,8,1,17,"21","tortladze_democratic_2010","“თორთლაძე – დემოკრატიული პარტია”","მაია ბურდული","მაია","ბურდული"
817,8,1,17,"25","ivanishvili_peoples_democrats_2010","ივანიშვილი – “სახალხო დემოკრატები”","თენგიზ სულაქველიძე","თენგიზ","სულაქველიძე"
918,9,1,18,"2","alliance_georgia_2010","“ალიანსი საქართველოსთვის” (ი. ალასანია, ს. სუბარი, დ. უსუფაშვილი, დ. გამყრელიძე, ს. ზურაბიშვილი)","ზაზა პეტრიაშვილი","ზაზა","პეტრიაშვილი"
918,9,1,18,"3","industry_sakartvelo","თოფაძე-მრეწველები","ლევან სისვაძე","ლევან","სისვაძე"
918,9,1,18,"5","unm","“ერთიანი ნაციონალური მოძრაობა”","შოთა ქურდაძე","შოთა","ქურდაძე"
918,9,1,18,"7","national_council_2010","“ეროვნული საბჭო”","გია ნაცვლიშვილი","გია","ნაცვლიშვილი"
918,9,1,18,"8","radical_democrats_2008","სრულიად საქართველოს რადიკალ-დემოკრატთა ნაციონალური პარტია","შალვა კუპრაშვილი","შალვა","კუპრაშვილი"
918,9,1,18,"10","christian_democrats_2010","“გიორგი თარგამაძე, ინგა გრიგოლია – ქრისტიან-დემოკრატიული გაერთიანება”","დავით კობალაძე","დავით","კობალაძე"
918,9,1,18,"15","freedom_2010","პოლიტიკური მოძრაობა “თავისუფლება”","ევგენი ჟვანია","ევგენი","ჟვანია"
918,9,1,18,"21","tortladze_democratic_2010","“თორთლაძე – დემოკრატიული პარტია”","რუსტამ ატაშოვი","რუსტამ","ატაშოვი"
